node_index,node_name,fallback_classification,confidence,input_names,output_names,parent_ops,child_ops,evidence
5514,/model/layers.18/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.18/input_layernorm/Mul_1_output_0; onnx::MatMul_10439,/model/layers.18/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5517,/model/layers.18/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.18/input_layernorm/Mul_1_output_0; onnx::MatMul_10440,/model/layers.18/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5696,/model/layers.18/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.18/self_attn/Mul_8_output_0; /model/layers.18/self_attn/Mul_9_output_0,/model/layers.18/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
5705,/model/layers.18/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.18/self_attn/Where_3_output_0; /model/layers.18/self_attn/Reshape_6_output_0,/model/layers.18/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
5714,/model/layers.18/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.18/self_attn/Reshape_7_output_0; onnx::MatMul_10467,/model/layers.18/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5784,/model/layers.19/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.19/input_layernorm/Mul_1_output_0; onnx::MatMul_10479,/model/layers.19/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5808,/model/layers.19/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.19/input_layernorm/Mul_1_output_0; onnx::MatMul_10486,/model/layers.19/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5811,/model/layers.19/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.19/input_layernorm/Mul_1_output_0; onnx::MatMul_10487,/model/layers.19/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
5990,/model/layers.19/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.19/self_attn/Mul_8_output_0; /model/layers.19/self_attn/Mul_9_output_0,/model/layers.19/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
5999,/model/layers.19/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.19/self_attn/Where_3_output_0; /model/layers.19/self_attn/Reshape_6_output_0,/model/layers.19/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
6008,/model/layers.19/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.19/self_attn/Reshape_7_output_0; onnx::MatMul_10514,/model/layers.19/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6078,/model/layers.20/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.20/input_layernorm/Mul_1_output_0; onnx::MatMul_10526,/model/layers.20/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6102,/model/layers.20/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.20/input_layernorm/Mul_1_output_0; onnx::MatMul_10533,/model/layers.20/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6105,/model/layers.20/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.20/input_layernorm/Mul_1_output_0; onnx::MatMul_10534,/model/layers.20/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6284,/model/layers.20/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.20/self_attn/Mul_8_output_0; /model/layers.20/self_attn/Mul_9_output_0,/model/layers.20/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
6293,/model/layers.20/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.20/self_attn/Where_3_output_0; /model/layers.20/self_attn/Reshape_6_output_0,/model/layers.20/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
6302,/model/layers.20/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.20/self_attn/Reshape_7_output_0; onnx::MatMul_10561,/model/layers.20/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6372,/model/layers.21/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.21/input_layernorm/Mul_1_output_0; onnx::MatMul_10573,/model/layers.21/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6396,/model/layers.21/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.21/input_layernorm/Mul_1_output_0; onnx::MatMul_10580,/model/layers.21/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6399,/model/layers.21/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.21/input_layernorm/Mul_1_output_0; onnx::MatMul_10581,/model/layers.21/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6578,/model/layers.21/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.21/self_attn/Mul_8_output_0; /model/layers.21/self_attn/Mul_9_output_0,/model/layers.21/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
6587,/model/layers.21/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.21/self_attn/Where_3_output_0; /model/layers.21/self_attn/Reshape_6_output_0,/model/layers.21/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
6596,/model/layers.21/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.21/self_attn/Reshape_7_output_0; onnx::MatMul_10608,/model/layers.21/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6666,/model/layers.22/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.22/input_layernorm/Mul_1_output_0; onnx::MatMul_10620,/model/layers.22/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6690,/model/layers.22/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.22/input_layernorm/Mul_1_output_0; onnx::MatMul_10627,/model/layers.22/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6693,/model/layers.22/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.22/input_layernorm/Mul_1_output_0; onnx::MatMul_10628,/model/layers.22/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6872,/model/layers.22/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.22/self_attn/Mul_8_output_0; /model/layers.22/self_attn/Mul_9_output_0,/model/layers.22/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
6881,/model/layers.22/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.22/self_attn/Where_3_output_0; /model/layers.22/self_attn/Reshape_6_output_0,/model/layers.22/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
6890,/model/layers.22/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.22/self_attn/Reshape_7_output_0; onnx::MatMul_10655,/model/layers.22/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6960,/model/layers.23/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.23/input_layernorm/Mul_1_output_0; onnx::MatMul_10667,/model/layers.23/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6984,/model/layers.23/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.23/input_layernorm/Mul_1_output_0; onnx::MatMul_10674,/model/layers.23/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
6987,/model/layers.23/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.23/input_layernorm/Mul_1_output_0; onnx::MatMul_10675,/model/layers.23/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
7166,/model/layers.23/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.23/self_attn/Mul_8_output_0; /model/layers.23/self_attn/Mul_9_output_0,/model/layers.23/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
7175,/model/layers.23/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.23/self_attn/Where_3_output_0; /model/layers.23/self_attn/Reshape_6_output_0,/model/layers.23/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
7184,/model/layers.23/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.23/self_attn/Reshape_7_output_0; onnx::MatMul_10702,/model/layers.23/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
7254,/model/layers.24/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.24/input_layernorm/Mul_1_output_0; onnx::MatMul_10714,/model/layers.24/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
7278,/model/layers.24/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.24/input_layernorm/Mul_1_output_0; onnx::MatMul_10721,/model/layers.24/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
7281,/model/layers.24/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.24/input_layernorm/Mul_1_output_0; onnx::MatMul_10722,/model/layers.24/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
7460,/model/layers.24/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.24/self_attn/Mul_8_output_0; /model/layers.24/self_attn/Mul_9_output_0,/model/layers.24/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
7469,/model/layers.24/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.24/self_attn/Where_3_output_0; /model/layers.24/self_attn/Reshape_6_output_0,/model/layers.24/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
7478,/model/layers.24/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.24/self_attn/Reshape_7_output_0; onnx::MatMul_10749,/model/layers.24/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
