phase,context_length,decode_steps,op_type,provider,profile_count,call_count,total_us,mean_us
decode,128,2,Tanh,CPUExecutionProvider,3,156,1062.0,6.8076923076923075
decode,128,2,Softmax,CPUExecutionProvider,3,156,1030.0,6.602564102564102
decode,128,2,IsNaN,CPUExecutionProvider,3,156,795.0,5.096153846153846
decode,128,2,And,CPUExecutionProvider,3,36,196.0,5.444444444444445
decode,128,2,Range,CPUExecutionProvider,3,18,82.0,4.555555555555555
decode,128,2,Cast,CPUExecutionProvider,3,12,68.0,5.666666666666667
decode,128,2,Sin,CPUExecutionProvider,3,12,60.0,5.0
decode,128,2,Cos,CPUExecutionProvider,3,12,56.0,4.666666666666667
decode,128,2,Greater,CPUExecutionProvider,3,6,35.0,5.833333333333333
decode,128,2,Sub,CPUExecutionProvider,3,6,33.0,5.5
decode,128,2,LessOrEqual,CPUExecutionProvider,3,6,28.0,4.666666666666667
decode,128,2,Flatten,CPUExecutionProvider,3,6,27.0,4.5
decode,128,4,MatMul,CPUExecutionProvider,3,2532,1548109.0,611.4174565560821
decode,128,4,Mul,CPUExecutionProvider,3,4080,27429.0,6.722794117647059
decode,128,4,Concat,CPUExecutionProvider,3,3180,25857.0,8.131132075471697
decode,128,4,Unsqueeze,CPUExecutionProvider,3,5508,24984.0,4.5359477124183005
decode,128,4,SimplifiedLayerNormalization,CPUExecutionProvider,3,1884,24627.0,13.071656050955413
decode,128,4,Gather,CPUExecutionProvider,3,4152,20153.0,4.853805394990366
decode,128,4,Add,CPUExecutionProvider,3,2220,12469.0,5.616666666666666
decode,128,4,Reshape,CPUExecutionProvider,3,2544,12459.0,4.897405660377358
decode,128,4,Expand,CPUExecutionProvider,3,672,11962.0,17.800595238095237
decode,128,4,Slice,CPUExecutionProvider,3,1560,11239.0,7.204487179487179
decode,128,4,Where,CPUExecutionProvider,3,1272,9373.0,7.3687106918239
decode,128,4,Shape,CPUExecutionProvider,3,1944,8614.0,4.431069958847736
decode,128,4,FusedMatMul,CPUExecutionProvider,3,312,7472.0,23.94871794871795
decode,128,4,Transpose,CPUExecutionProvider,3,1272,6651.0,5.22877358490566
decode,128,4,Equal,CPUExecutionProvider,3,648,5550.0,8.564814814814815
decode,128,4,Div,CPUExecutionProvider,3,624,3643.0,5.8381410256410255
decode,128,4,Neg,CPUExecutionProvider,3,624,3282.0,5.259615384615385
